Species,RW1,RW2
AMI,7.89475045255383E-003,-3.52220246954574E-002
CAD,3.96711103322074E-002,-3.44003485172431E-002
CBR,5.75410235659477E-002,-7.08090714841731E-003
CTH,1.50844871396507E-002,-3.35604718201859E-002
LFU,-2.97619448137004E-002,-1.45786286524326E-004
LGR,-9.30088906217634E-003,-1.29452408369107E-002
LGY,-4.39457728289309E-003,-2.63974362443930E-002
LSE,-5.77545118151146E-003,-1.72528390314028E-002
LVE,-1.45541091680133E-002,-4.29877346255041E-002
LCU,2.31425293127596E-002,-7.46154088460043E-003
NPR,-4.23658603249970E-003,-3.63318001285633E-002
UCI,-2.35580692520624E-002,-4.25002696235636E-002
VBE,-1.35000319444239E-002,-8.11554164059009E-003
VCH,-1.46732434532454E-002,-1.10111292817170E-002
VPA,-4.64924127352736E-002,-2.09558848691794E-002
VVE,-3.95270724917296E-002,3.42054688652423E-002
VZE,-1.04921693859334E-001,2.66793370662838E-002
OME,-4.99425061943039E-002,-4.96355461150126E-003
VCA,-6.06172117808511E-002,4.68944941263430E-003
VRU,-3.66643494261755E-002,1.29992194582185E-002
VCO,2.84565707569574E-003,1.48464085673478E-002
VFE,1.81948380927494E-002,2.44154703913114E-002
VMA,-5.31005525829571E-002,3.55537997585739E-002
VVU,-9.14515468899907E-004,1.98543328225386E-002
VLA,-2.54155085805680E-002,3.66237838718584E-002
CAU,2.76822729022525E-002,8.16146238795017E-003
CME,7.25925599475357E-003,1.52935733312104E-002
CLA,3.14263677408373E-002,1.26549166667071E-002
CSI,5.13123557987123E-002,-1.51317342974802E-002
CLU,8.49461860785025E-002,3.35634228088530E-002
CAL,5.67112256994503E-002,-8.35068499324578E-003
LPI,8.95028582432899E-002,3.03414376357757E-002
SVE,2.41358068812562E-002,5.49328464919755E-002